epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14427.9,1.4067,1.33257,1.44681,0.58698,0.62462,0.60588,0.32513,1.4687,1.30918,1.46313,0.00198525,0.00198525,0.00198525
43,14756.9,1.40245,1.33284,1.44085,0.60045,0.63563,0.62854,0.33675,1.47361,1.30232,1.46899,0.0019605,0.0019605,0.0019605
44,15068.5,1.39754,1.32218,1.43183,0.6314,0.63192,0.6469,0.3574,1.42984,1.25323,1.44007,0.00193575,0.00193575,0.00193575
45,15403.3,1.38793,1.30513,1.42928,0.61871,0.61984,0.63408,0.33986,1.47346,1.35124,1.45873,0.001911,0.001911,0.001911
46,15730.7,1.38854,1.31961,1.42929,0.60649,0.62161,0.61618,0.34057,1.42594,1.29124,1.44128,0.00188625,0.00188625,0.00188625
47,16131.6,1.3839,1.29672,1.42265,0.62151,0.62387,0.62706,0.34759,1.43806,1.25155,1.44598,0.0018615,0.0018615,0.0018615
48,16587.6,1.37013,1.29403,1.41795,0.62087,0.58988,0.61344,0.33845,1.43031,1.29726,1.44427,0.00183675,0.00183675,0.00183675
49,17002.7,1.37988,1.28822,1.42101,0.62338,0.62538,0.63415,0.35717,1.41503,1.24089,1.42904,0.001812,0.001812,0.001812
50,17357.3,1.35432,1.28832,1.4063,0.59771,0.64637,0.63378,0.34922,1.44295,1.24008,1.449,0.00178725,0.00178725,0.00178725
51,17607.9,1.38139,1.30303,1.4251,0.60784,0.60297,0.60461,0.32795,1.44158,1.33096,1.4479,0.0017625,0.0017625,0.0017625
52,17860.2,1.36046,1.28672,1.41538,0.61821,0.6327,0.64349,0.3522,1.43833,1.24181,1.44938,0.00173775,0.00173775,0.00173775
53,18113.1,1.38617,1.27042,1.42078,0.63383,0.61002,0.62875,0.34094,1.45682,1.26596,1.4595,0.001713,0.001713,0.001713
54,18367.5,1.3753,1.27301,1.42122,0.63785,0.62865,0.64732,0.35179,1.46451,1.22326,1.47729,0.00168825,0.00168825,0.00168825
55,18620.5,1.36565,1.27725,1.42136,0.64449,0.6284,0.65368,0.35341,1.48275,1.24246,1.46213,0.0016635,0.0016635,0.0016635
56,18872.8,1.34554,1.2441,1.39864,0.62711,0.62991,0.64091,0.34842,1.45514,1.24949,1.44527,0.00163875,0.00163875,0.00163875
57,19125,1.34978,1.24712,1.40791,0.63295,0.60876,0.62933,0.34111,1.44584,1.2684,1.45662,0.001614,0.001614,0.001614
58,19377.1,1.36191,1.24991,1.40751,0.63866,0.58938,0.62225,0.34153,1.44381,1.26667,1.45022,0.00158925,0.00158925,0.00158925
59,19628.3,1.33666,1.23575,1.3892,0.66935,0.59731,0.64238,0.3533,1.4261,1.22601,1.43454,0.0015645,0.0015645,0.0015645
60,19879.7,1.3624,1.25125,1.3997,0.60406,0.62613,0.61802,0.33985,1.4334,1.26879,1.43723,0.00153975,0.00153975,0.00153975
61,20130.4,1.33984,1.2282,1.39374,0.61324,0.63268,0.6381,0.34709,1.43607,1.24729,1.44426,0.001515,0.001515,0.001515
