imagem_1,imagem_2,similaridade
dataset_final\images\train\val_1502.jpg,dataset_final\images\val\test_1779.jpg,100.0
dataset_final\images\train\val_1537.jpg,dataset_final\images\test\val_1629.jpg,100.0
dataset_final\images\train\val_1551.jpg,dataset_final\images\val\train_1641.jpg,100.0
dataset_final\images\train\val_1553.jpg,dataset_final\images\val\train_1848.jpg,100.0
dataset_final\images\train\val_1587.jpg,dataset_final\images\train\val_1792.jpg,100.0
dataset_final\images\train\val_1590.jpg,dataset_final\images\test\test_1499.jpg,100.0
dataset_final\images\train\val_1597.jpg,dataset_final\images\train\val_1802.jpg,100.0
dataset_final\images\train\val_1598.jpg,dataset_final\images\test\train_1507.jpg,100.0
dataset_final\images\train\val_1601.jpg,dataset_final\images\train\val_1787.jpg,100.0
dataset_final\images\train\val_1601.jpg,dataset_final\images\val\train_1807.jpg,100.0
dataset_final\images\train\val_1601.jpg,dataset_final\images\val\val_1510.jpg,100.0
dataset_final\images\train\val_1608.jpg,dataset_final\images\val\val_1517.jpg,100.0
dataset_final\images\train\val_1617.jpg,dataset_final\images\train\val_1822.jpg,100.0
dataset_final\images\train\val_1637.jpg,dataset_final\images\test\val_1843.jpg,100.0
dataset_final\images\train\val_1653.jpg,dataset_final\images\train\val_1858.jpg,100.0
dataset_final\images\train\val_1653.jpg,dataset_final\images\test\test_1563.jpg,100.0
dataset_final\images\train\val_1654.jpg,dataset_final\images\val\val_1564.jpg,100.0
dataset_final\images\train\val_1674.jpg,dataset_final\images\train\val_1878.jpg,100.0
dataset_final\images\train\val_1675.jpg,dataset_final\images\train\val_1789.jpg,100.0
dataset_final\images\train\val_1679.jpg,dataset_final\images\val\train_1885.jpg,100.0
dataset_final\images\train\val_1688.jpg,dataset_final\images\val\train_1893.jpg,100.0
dataset_final\images\train\val_1691.jpg,dataset_final\images\val\test_1897.jpg,100.0
dataset_final\images\train\val_1726.jpg,dataset_final\images\train\val_1932.jpg,100.0
dataset_final\images\train\val_1737.jpg,dataset_final\images\val\train_1943.jpg,100.0
dataset_final\images\train\val_1747.jpg,dataset_final\images\val\train_1953.jpg,100.0
dataset_final\images\train\val_1750.jpg,dataset_final\images\val\train_1955.jpg,100.0
dataset_final\images\train\val_1752.jpg,dataset_final\images\val\train_1957.jpg,100.0
dataset_final\images\train\val_1777.jpg,dataset_final\images\val\train_1500.jpg,100.0
dataset_final\images\train\val_1777.jpg,dataset_final\images\test\train_1591.jpg,100.0
dataset_final\images\train\val_1787.jpg,dataset_final\images\val\train_1807.jpg,100.0
dataset_final\images\train\val_1787.jpg,dataset_final\images\val\val_1510.jpg,100.0
dataset_final\images\train\val_1800.jpg,dataset_final\images\val\train_1780.jpg,100.0
dataset_final\images\train\val_1836.jpg,dataset_final\images\val\train_1631.jpg,100.0
dataset_final\images\train\val_1841.jpg,dataset_final\images\val\val_1544.jpg,100.0
dataset_final\images\train\val_1842.jpg,dataset_final\images\val\train_1636.jpg,100.0
dataset_final\images\train\val_1847.jpg,dataset_final\images\val\train_1642.jpg,100.0
dataset_final\images\train\val_1850.jpg,dataset_final\images\val\test_1644.jpg,100.0
dataset_final\images\train\val_1858.jpg,dataset_final\images\test\test_1563.jpg,100.0
dataset_final\images\train\val_1866.jpg,dataset_final\images\val\train_1570.jpg,100.0
dataset_final\images\train\val_1875.jpg,dataset_final\images\val\train_1670.jpg,100.0
dataset_final\images\train\val_1875.jpg,dataset_final\images\test\train_1579.jpg,100.0
dataset_final\images\train\val_1890.jpg,dataset_final\images\val\train_1685.jpg,100.0
dataset_final\images\train\val_1891.jpg,dataset_final\images\test\train_1686.jpg,100.0
dataset_final\images\train\val_1892.jpg,dataset_final\images\val\val_1687.jpg,100.0
dataset_final\images\train\val_1901.jpg,dataset_final\images\test\train_1696.jpg,100.0
dataset_final\images\train\val_1922.jpg,dataset_final\images\test\val_1717.jpg,100.0
dataset_final\images\train\val_1964.jpg,dataset_final\images\test\val_1758.jpg,100.0
dataset_final\images\train\val_320.jpg,dataset_final\images\train\val_321.jpg,93.75
dataset_final\images\train\val_33.jpg,dataset_final\images\train\val_97.jpg,100.0
dataset_final\images\train\val_55.jpg,dataset_final\images\val\train_119.jpg,100.0
dataset_final\images\train\val_65.jpg,dataset_final\images\val\test_129.jpg,100.0
dataset_final\images\train\val_66.jpg,dataset_final\images\val\train_130.jpg,100.0
dataset_final\images\train\val_67.jpg,dataset_final\images\val\train_3.jpg,100.0
dataset_final\images\train\val_71.jpg,dataset_final\images\val\train_7.jpg,100.0
dataset_final\images\train\val_92.jpg,dataset_final\images\val\train_28.jpg,100.0
dataset_final\images\val\test_1593.jpg,dataset_final\images\val\test_1779.jpg,100.0
dataset_final\images\val\test_1621.jpg,dataset_final\images\val\train_1826.jpg,100.0
dataset_final\images\val\train_103.jpg,dataset_final\images\val\train_39.jpg,100.0
dataset_final\images\val\train_1057.jpg,dataset_final\images\test\val_1480.jpg,90.62
dataset_final\images\val\train_1420.jpg,dataset_final\images\val\val_2044.jpg,100.0
dataset_final\images\val\train_1421.jpg,dataset_final\images\val\val_2054.jpg,100.0
dataset_final\images\val\train_1440.jpg,dataset_final\images\val\val_1441.jpg,100.0
dataset_final\images\val\train_1446.jpg,dataset_final\images\val\val_1447.jpg,100.0
dataset_final\images\val\train_1495.jpg,dataset_final\images\val\train_1770.jpg,100.0
dataset_final\images\val\train_1500.jpg,dataset_final\images\test\train_1591.jpg,100.0
dataset_final\images\val\train_1580.jpg,dataset_final\images\val\train_1671.jpg,100.0
dataset_final\images\val\train_1580.jpg,dataset_final\images\val\train_1876.jpg,100.0
dataset_final\images\val\train_1667.jpg,dataset_final\images\val\train_1872.jpg,100.0
dataset_final\images\val\train_1668.jpg,dataset_final\images\val\train_1873.jpg,100.0
dataset_final\images\val\train_1670.jpg,dataset_final\images\test\train_1579.jpg,100.0
dataset_final\images\val\train_1671.jpg,dataset_final\images\val\train_1876.jpg,100.0
dataset_final\images\val\train_1690.jpg,dataset_final\images\test\train_1896.jpg,100.0
dataset_final\images\val\train_1714.jpg,dataset_final\images\val\train_1920.jpg,100.0
dataset_final\images\val\train_1755.jpg,dataset_final\images\test\train_1961.jpg,100.0
dataset_final\images\val\train_1775.jpg,dataset_final\images\test\train_1795.jpg,100.0
dataset_final\images\val\train_1786.jpg,dataset_final\images\val\val_1806.jpg,100.0
dataset_final\images\val\train_1807.jpg,dataset_final\images\val\val_1510.jpg,100.0
dataset_final\images\val\train_1837.jpg,dataset_final\images\test\test_1541.jpg,100.0
dataset_final\images\val\train_1837.jpg,dataset_final\images\test\val_1632.jpg,100.0
dataset_final\images\val\train_1884.jpg,dataset_final\images\test\test_1678.jpg,100.0
dataset_final\images\val\train_1925.jpg,dataset_final\images\test\train_1720.jpg,100.0
dataset_final\images\val\train_63.jpg,dataset_final\images\val\val_127.jpg,100.0
dataset_final\images\val\train_78.jpg,dataset_final\images\val\val_14.jpg,100.0
dataset_final\images\val\val_1058.jpg,dataset_final\images\test\train_1445.jpg,100.0
dataset_final\images\val\val_1651.jpg,dataset_final\images\test\train_1856.jpg,100.0
dataset_final\images\val\val_1651.jpg,dataset_final\images\test\val_1560.jpg,100.0
dataset_final\images\val\val_1698.jpg,dataset_final\images\val\val_1903.jpg,100.0
dataset_final\images\val\val_1745.jpg,dataset_final\images\test\val_1951.jpg,100.0
dataset_final\images\val\val_1904.jpg,dataset_final\images\test\train_1699.jpg,100.0
dataset_final\images\val\val_48.jpg,dataset_final\images\test\train_112.jpg,100.0
dataset_final\images\test\test_1541.jpg,dataset_final\images\test\val_1632.jpg,100.0
dataset_final\images\test\train_1416.jpg,dataset_final\images\test\train_1417.jpg,100.0
dataset_final\images\test\train_1856.jpg,dataset_final\images\test\val_1560.jpg,100.0
