epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.825,1.61066,2.64696,1.54251,0.35369,0.3288,0.26315,0.10204,1.81235,2.87265,1.91403,0.00099435,0.00099435,0.0678493
2,566.046,1.65317,2.39368,1.5824,0.35798,0.38469,0.28947,0.1272,1.66298,3.52884,1.60199,0.00196967,0.00196967,0.0354913
3,841.312,1.66116,2.33923,1.5813,0.35873,0.4144,0.30591,0.1347,1.66317,3.22782,1.63146,0.00292024,0.00292024,0.00310856
4,1116.29,1.64397,2.29857,1.57369,0.40544,0.39124,0.33469,0.1519,1.6655,2.28848,1.62416,0.00288863,0.00288863,0.00288863
5,1390.19,1.60804,2.24628,1.55346,0.42572,0.44285,0.38028,0.18214,1.55004,2.11511,1.5176,0.0028515,0.0028515,0.0028515
6,1664.13,1.58052,2.17647,1.52801,0.47021,0.48187,0.42659,0.20943,1.54,1.96889,1.47641,0.00281438,0.00281438,0.00281438
7,1937.27,1.56263,2.10829,1.51635,0.49228,0.50101,0.46129,0.22445,1.51419,2.07777,1.52922,0.00277725,0.00277725,0.00277725
8,2212.18,1.56301,2.05463,1.51234,0.47854,0.48691,0.44841,0.21693,1.62714,1.92477,1.57095,0.00274012,0.00274012,0.00274012
9,2486.4,1.56325,2.08552,1.50893,0.54135,0.49874,0.49438,0.2384,1.59673,1.8629,1.56809,0.002703,0.002703,0.002703
10,2758.81,1.53073,2.00129,1.49875,0.512,0.49369,0.48131,0.24155,1.58383,1.82718,1.52337,0.00266587,0.00266587,0.00266587
11,3031.95,1.54521,1.97858,1.52178,0.48114,0.4786,0.42936,0.21127,1.52548,2.09458,1.50974,0.00262875,0.00262875,0.00262875
12,3305.65,1.52048,1.95805,1.48119,0.4922,0.51636,0.48661,0.25241,1.50442,1.72077,1.47665,0.00259163,0.00259163,0.00259163
13,3580.07,1.50778,1.94719,1.48188,0.5361,0.52216,0.50796,0.26325,1.47421,1.78486,1.45781,0.0025545,0.0025545,0.0025545
14,3866.9,1.49991,1.92612,1.48145,0.52302,0.52669,0.52238,0.26701,1.5145,1.6986,1.47864,0.00251738,0.00251738,0.00251738
15,4160.8,1.50955,1.94866,1.49038,0.50902,0.53273,0.50319,0.25249,1.45901,1.90086,1.46658,0.00248025,0.00248025,0.00248025
16,4458.78,1.50402,1.91048,1.49735,0.5364,0.51938,0.51594,0.27438,1.44529,1.68744,1.43996,0.00244312,0.00244312,0.00244312
17,4767.43,1.50011,1.93553,1.49163,0.54388,0.53625,0.52268,0.28056,1.44493,1.6664,1.44641,0.002406,0.002406,0.002406
18,5092.76,1.49189,1.89613,1.48964,0.55983,0.55665,0.56138,0.29289,1.488,1.59604,1.48883,0.00236888,0.00236888,0.00236888
19,5398.2,1.49244,1.84653,1.48004,0.56275,0.54507,0.54645,0.27653,1.56078,1.63645,1.51575,0.00233175,0.00233175,0.00233175
20,5693.54,1.49458,1.88673,1.47371,0.58411,0.5258,0.55542,0.29563,1.47465,1.60038,1.46803,0.00229462,0.00229462,0.00229462
21,5999.75,1.45624,1.8314,1.45944,0.54086,0.56596,0.53084,0.28197,1.46262,1.61923,1.44792,0.0022575,0.0022575,0.0022575
22,6314.36,1.45929,1.86946,1.47066,0.50749,0.51913,0.50506,0.282,1.42728,1.64312,1.42422,0.00222038,0.00222038,0.00222038
23,6623.31,1.45398,1.82814,1.45253,0.55634,0.55161,0.55741,0.28918,1.49257,1.62774,1.4631,0.00218325,0.00218325,0.00218325
24,6935.11,1.45162,1.79371,1.45037,0.59335,0.55992,0.58073,0.31019,1.44657,1.55616,1.44237,0.00214613,0.00214613,0.00214613
25,7260.19,1.46127,1.79738,1.4443,0.57527,0.55754,0.57107,0.30205,1.48237,1.53593,1.45494,0.002109,0.002109,0.002109
26,7578.99,1.44883,1.78711,1.43755,0.52164,0.52669,0.496,0.25924,1.4703,1.81256,1.46328,0.00207188,0.00207188,0.00207188
27,7877.89,1.44543,1.7828,1.44459,0.53832,0.55967,0.52637,0.28048,1.43266,1.64857,1.4296,0.00203475,0.00203475,0.00203475
28,8200.06,1.44304,1.78351,1.42966,0.56744,0.57049,0.5652,0.30905,1.42358,1.52893,1.42525,0.00199762,0.00199762,0.00199762
29,8522.48,1.44521,1.77093,1.45178,0.5687,0.56294,0.56206,0.30973,1.40485,1.56768,1.42029,0.0019605,0.0019605,0.0019605
30,8855.36,1.43764,1.74501,1.43461,0.56679,0.57326,0.57248,0.31057,1.42234,1.57556,1.42695,0.00192337,0.00192337,0.00192337
31,9156.33,1.41561,1.7463,1.43128,0.55157,0.56672,0.54235,0.29591,1.42182,1.57983,1.42275,0.00188625,0.00188625,0.00188625
32,9454.76,1.43313,1.74123,1.43229,0.567,0.55517,0.55464,0.30211,1.43117,1.54559,1.43145,0.00184913,0.00184913,0.00184913
33,9762.87,1.43441,1.74404,1.4421,0.5976,0.56681,0.58603,0.31913,1.43168,1.50426,1.44378,0.001812,0.001812,0.001812
34,10070.6,1.41685,1.74618,1.43562,0.61295,0.57276,0.59444,0.31998,1.45311,1.49976,1.4419,0.00177488,0.00177488,0.00177488
35,10367.9,1.41159,1.71221,1.43,0.59252,0.58132,0.5894,0.32151,1.42877,1.486,1.42584,0.00173775,0.00173775,0.00173775
36,10657.2,1.41098,1.70712,1.42271,0.58912,0.58359,0.58761,0.32424,1.39808,1.49089,1.40956,0.00170063,0.00170063,0.00170063
37,10943.1,1.40623,1.72017,1.41463,0.57873,0.57427,0.57828,0.32102,1.40481,1.50078,1.4148,0.0016635,0.0016635,0.0016635
38,11226.3,1.39166,1.7033,1.42279,0.6003,0.59023,0.60739,0.33968,1.40412,1.46214,1.4184,0.00162637,0.00162637,0.00162637
39,11514.7,1.39536,1.65591,1.40731,0.59328,0.58837,0.60174,0.33386,1.41926,1.46359,1.41577,0.00158925,0.00158925,0.00158925
40,11830.2,1.4108,1.67023,1.42063,0.61248,0.58107,0.62005,0.33861,1.41784,1.46713,1.4145,0.00155212,0.00155212,0.00155212
41,12165.9,1.38534,1.62749,1.40816,0.58645,0.58909,0.59057,0.31794,1.38843,1.47061,1.41923,0.001515,0.001515,0.001515
