epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12490.5,1.37903,1.65472,1.4067,0.5983,0.56319,0.58152,0.32409,1.39929,1.49927,1.41911,0.00147788,0.00147788,0.00147788
43,12816.9,1.39405,1.63535,1.41258,0.60266,0.57503,0.59899,0.33681,1.39642,1.47149,1.42876,0.00144075,0.00144075,0.00144075
44,13145.1,1.39206,1.63028,1.41391,0.59417,0.59265,0.60239,0.33786,1.38356,1.43682,1.40227,0.00140363,0.00140363,0.00140363
45,13483.9,1.36795,1.61926,1.39926,0.61428,0.58457,0.62295,0.35489,1.37734,1.42853,1.40489,0.0013665,0.0013665,0.0013665
46,13817.4,1.36658,1.62624,1.39373,0.59054,0.60196,0.59893,0.34975,1.35968,1.43482,1.39166,0.00132938,0.00132938,0.00132938
47,14146.1,1.36685,1.60354,1.38603,0.61906,0.58258,0.61919,0.35071,1.40127,1.43246,1.41326,0.00129225,0.00129225,0.00129225
48,14448.1,1.34804,1.60114,1.38725,0.61867,0.59315,0.62825,0.35427,1.37278,1.4211,1.39265,0.00125512,0.00125512,0.00125512
49,14742,1.35892,1.60188,1.38935,0.61251,0.57377,0.60327,0.3408,1.37007,1.45494,1.39734,0.001218,0.001218,0.001218
50,15028.8,1.33747,1.59776,1.37094,0.60567,0.59063,0.60857,0.35289,1.36471,1.44816,1.38099,0.00118087,0.00118087,0.00118087
51,15310.8,1.35737,1.58981,1.39083,0.60804,0.61474,0.62225,0.34954,1.36778,1.43238,1.39151,0.00114375,0.00114375,0.00114375
52,15789.5,1.34651,1.57226,1.38611,0.63294,0.572,0.62412,0.35095,1.37108,1.42458,1.40469,0.00110663,0.00110663,0.00110663
53,16228.4,1.36665,1.5777,1.38578,0.62081,0.59974,0.62487,0.3575,1.36894,1.40907,1.39806,0.0010695,0.0010695,0.0010695
54,16655.9,1.34076,1.5414,1.38046,0.64847,0.59353,0.63614,0.36493,1.36907,1.38132,1.39654,0.00103238,0.00103238,0.00103238
55,17192.7,1.33228,1.5586,1.37773,0.63108,0.59862,0.63142,0.36159,1.35606,1.42449,1.38093,0.00099525,0.00099525,0.00099525
56,17683.7,1.32412,1.53068,1.36487,0.61748,0.60431,0.63108,0.35802,1.37887,1.38226,1.39426,0.000958125,0.000958125,0.000958125
57,18186.4,1.3212,1.54249,1.36377,0.60925,0.60851,0.62429,0.35135,1.38457,1.40956,1.401,0.000921,0.000921,0.000921
58,18776.8,1.31702,1.5209,1.36038,0.61838,0.62613,0.6326,0.35914,1.36565,1.37592,1.40147,0.000883875,0.000883875,0.000883875
59,19260.9,1.30751,1.51512,1.35857,0.63133,0.60146,0.63887,0.36474,1.36696,1.36801,1.39454,0.00084675,0.00084675,0.00084675
60,19729.9,1.32139,1.54176,1.36032,0.62766,0.60926,0.63129,0.35682,1.36804,1.38881,1.3895,0.000809625,0.000809625,0.000809625
61,20358.2,1.31151,1.5107,1.35582,0.61506,0.61657,0.62928,0.35669,1.37422,1.37404,1.3973,0.0007725,0.0007725,0.0007725
62,20990.7,1.31016,1.51622,1.36099,0.62729,0.59391,0.62301,0.35964,1.35487,1.39284,1.38402,0.000735375,0.000735375,0.000735375
63,21320.7,1.32538,1.50487,1.36107,0.63136,0.60222,0.63088,0.36384,1.35466,1.37223,1.39788,0.00069825,0.00069825,0.00069825
64,21652.3,1.3094,1.50357,1.35313,0.64366,0.60165,0.63968,0.36694,1.35765,1.36894,1.39647,0.000661125,0.000661125,0.000661125
65,21968,1.29969,1.49054,1.34572,0.62968,0.59567,0.62912,0.35532,1.37117,1.39161,1.40858,0.000624,0.000624,0.000624
66,22301.7,1.29454,1.47798,1.35185,0.64781,0.59139,0.6402,0.36576,1.36097,1.37404,1.40208,0.000586875,0.000586875,0.000586875
67,22633.1,1.29116,1.45605,1.34762,0.62441,0.61833,0.6334,0.3594,1.36274,1.38583,1.40329,0.00054975,0.00054975,0.00054975
68,22957,1.2985,1.45825,1.35151,0.64481,0.59718,0.63882,0.36501,1.355,1.38385,1.3864,0.000512625,0.000512625,0.000512625
69,23284,1.28381,1.44794,1.33794,0.6225,0.61486,0.64911,0.37126,1.36535,1.33365,1.40394,0.0004755,0.0004755,0.0004755
70,23615.1,1.28499,1.45463,1.33716,0.6361,0.60297,0.63837,0.36825,1.35092,1.36353,1.39007,0.000438375,0.000438375,0.000438375
71,23936.2,1.25149,1.40126,1.35959,0.61611,0.61455,0.63128,0.35506,1.3644,1.37946,1.402,0.00040125,0.00040125,0.00040125
72,24256.2,1.24484,1.33503,1.34026,0.6228,0.61782,0.64114,0.36664,1.36919,1.35794,1.39824,0.000364125,0.000364125,0.000364125
73,24573.3,1.22991,1.31521,1.33583,0.64077,0.6007,0.64301,0.36765,1.37425,1.35274,1.39961,0.000327,0.000327,0.000327
74,24912.7,1.22464,1.29661,1.32661,0.63062,0.61463,0.64739,0.37171,1.3643,1.33603,1.40303,0.000289875,0.000289875,0.000289875
75,25264,1.22318,1.30878,1.32634,0.62677,0.6138,0.64481,0.37093,1.36679,1.34138,1.40529,0.00025275,0.00025275,0.00025275
76,25576.7,1.22487,1.28958,1.32263,0.62972,0.6138,0.64322,0.36931,1.35983,1.33714,1.40024,0.000215625,0.000215625,0.000215625
77,25867.5,1.21029,1.28069,1.31812,0.62535,0.61479,0.64157,0.36782,1.36729,1.34292,1.40454,0.0001785,0.0001785,0.0001785
78,26158.5,1.21759,1.28905,1.31639,0.62675,0.61657,0.64325,0.37124,1.35529,1.33642,1.39894,0.000141375,0.000141375,0.000141375
79,26465.3,1.2118,1.29016,1.31793,0.63247,0.61354,0.6455,0.37275,1.35265,1.33526,1.39578,0.00010425,0.00010425,0.00010425
80,26772.4,1.20231,1.26168,1.31091,0.63315,0.60926,0.64443,0.3718,1.35479,1.33481,1.39796,6.7125e-05,6.7125e-05,6.7125e-05
